azon;ev;szint;irabeli;szobeli
T001;2025;közép;38;30
T002;2024;közép;70;8
T003;2025;emelt;32;22
T004;2023;közép;24;14
T005;2023;közép;69;37
T006;2024;emelt;48;27
T007;2025;közép;14;27
T008;2024;emelt;23;13
T009;2025;közép;10;39
T010;2023;közép;88;23
T011;2023;emelt;27;26
T012;2025;közép;83;26
T013;2023;emelt;15;27
T014;2024;közép;72;12
T015;2024;emelt;71;29
T016;2024;emelt;41;12
T017;2025;emelt;1;22
T018;2025;közép;80;1
T019;2023;közép;43;4
T020;2023;emelt;96;1
T021;2023;emelt;92;10
T022;2025;közép;57;10
T023;2023;közép;20;50
T024;2024;közép;55;43
T025;2024;közép;27;0
